City,Country,City_Latitude,City_Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Calama,CL,-22.4667,-68.9333,1622219741,40,41,61.29,1.14
New Norfolk,AU,-42.7826,147.0587,1622219745,19,66,45.9,1.01
Rikitea,PF,-23.1203,-134.9692,1622219699,69,71,73.96,17.11
Salalah,OM,17.0151,54.0924,1622219664,20,84,86.09,5.75
Almaznyy,RU,48.0448,40.045,1622219939,55,72,71.74,8.19
Ishigaki,JP,24.3448,124.1572,1622219939,100,81,81.79,2.35
Busselton,AU,-33.65,115.3333,1622219720,100,90,61.05,17.38
Arlit,NE,18.7369,7.3853,1622219939,100,4,103.12,12.08
Carnarvon,AU,-24.8667,113.6333,1622219725,75,100,69.87,12.66
Avarua,CK,-21.2078,-159.775,1622219758,100,100,69.85,2.3
Husavik,IS,66.0449,-17.3389,1622219739,18,52,58.91,17.25
Shinshiro,JP,34.9,137.5,1622219940,100,100,66.43,4.27
Sitka,US,57.0531,-135.33,1622219771,90,87,46.29,5.75
Souillac,MU,-20.5167,57.5167,1622219940,20,88,74.35,6.69
Joshīmath,IN,30.5667,79.5667,1622219941,48,75,65.55,2.68
Pisco,PE,-13.7,-76.2167,1622219733,90,94,66.02,5.75
Ancud,CL,-41.8697,-73.8203,1622219757,91,61,51.42,11.34
Barrow,US,71.2906,-156.7887,1622219941,90,80,30.22,8.05
Nikolskoye,RU,59.7035,30.7861,1622219942,64,69,57.78,8.03
Butaritari,KI,3.0707,172.7902,1622219461,95,81,81.64,12.88
Ushuaia,AR,-54.8,-68.3,1622219942,75,100,31.66,25.32
Hermanus,ZA,-34.4187,19.2345,1622219942,24,87,62.8,16.58
Hilo,US,19.7297,-155.09,1622219943,90,85,74.28,6.91
Tripoli,LY,32.8752,13.1875,1622219657,16,60,78.22,20.42
New Haven,US,41.4001,-72.9329,1622219937,75,45,67.28,1.99
Faanui,PF,-16.4833,-151.75,1622219521,62,68,79.95,4.59
Yellowknife,CA,62.456,-114.3525,1622219721,40,53,53.33,1.99
Kruisfontein,ZA,-34.0033,24.7314,1622219943,0,73,63.88,13.11
Gao,ML,16.6362,1.637,1622219944,95,11,106.02,12.08
Northam,AU,-31.6667,116.6667,1622219944,100,91,60.85,10.92
San Quintín,MX,30.4833,-115.95,1622219944,58,65,63.5,11.61
Tura,RU,64.2833,100.25,1622219945,100,91,46.74,2.15
Ponta do Sol,CV,17.1994,-25.0919,1622219769,47,73,78.58,13.89
Saint-Philippe,RE,-21.3585,55.7679,1622219699,45,74,72.95,3.58
Albany,AU,-35.0169,117.8917,1622219716,90,77,64.83,10.78
Ylivieska,FI,64.0833,24.55,1622219946,8,46,50.88,8.34
Alamogordo,US,32.8995,-105.9603,1622219657,1,11,88.61,8.05
Jacareacanga,BR,-6.2222,-57.7528,1622219946,85,27,95.29,3.78
Jamestown,SH,-15.9387,-5.7168,1622219737,90,73,69.42,15.86
Kasungu,MW,-13.0333,33.4833,1622219946,0,65,59.32,6.08
Nome,US,64.5011,-165.4064,1622219947,1,27,50.07,14.97
East London,ZA,-33.0153,27.9116,1622219722,0,67,63.54,6.91
Gondanglegi,ID,-7.7479,112.0132,1622219947,67,93,75.42,5.53
Aldan,RU,58.6031,125.3894,1622219914,36,92,38.97,0.49
San Jose de Buan,PH,12.0529,125.0251,1622219947,75,99,75.02,1.54
Vaini,TO,-21.2,-175.2,1622219698,75,100,64.56,2.3
Kimamba,TZ,-6.7833,37.1333,1622219948,95,77,70.66,1.95
Chiang Khong,TH,20.2613,100.4046,1622219948,82,83,80.92,0.51
College,US,64.8569,-147.8028,1622219726,20,55,41.0,18.41
Yārāda,IN,17.65,83.2667,1622219949,40,79,89.92,9.91
Port Pirie,AU,-33.1833,138.0167,1622219949,100,67,53.69,7.36
Quang Ngai,VN,15.1167,108.8,1622219949,90,91,79.21,4.72
Majene,ID,-3.5403,118.9707,1622219949,14,89,78.42,9.8
Biloela,AU,-24.4167,150.5,1622219767,75,59,48.96,7.87
Punta Arenas,CL,-53.15,-70.9167,1622219533,40,75,35.62,19.66
Namuac,PH,18.6109,121.1657,1622219950,95,80,80.91,3.51
Mahébourg,MU,-20.4081,57.7,1622219774,20,88,74.25,1.14
Vostok,RU,46.4856,135.8833,1622219720,100,95,40.96,3.36
Cidreira,BR,-30.1811,-50.2056,1622219950,100,95,63.14,8.5
Moerai,PF,-22.4333,-151.3333,1622219951,86,83,78.01,15.43
San Vicente,PH,15.2955,120.6465,1622219951,75,83,83.88,2.1
Kuching,MY,1.55,110.3333,1622219945,40,100,75.42,1.14
Khatanga,RU,71.9667,102.5,1622219730,100,91,37.24,10.8
Mackay,AU,-21.15,149.2,1622219952,1,76,60.04,4.61
Hobart,AU,-42.8794,147.3294,1622219952,90,73,48.06,1.01
Dingle,IE,52.1408,-10.2689,1622219952,16,66,55.2,1.92
Itarema,BR,-2.9248,-39.9167,1622219953,12,58,86.45,14.05
Atuona,PF,-9.8,-139.0333,1622219716,17,74,79.77,15.46
Norman Wells,CA,65.282,-126.8329,1622219734,90,93,35.64,17.27
Geraldton,AU,-28.7667,114.6,1622219464,90,94,65.12,14.9
Fayaoué,NC,-20.65,166.5333,1622219953,7,66,73.27,7.18
Ballina,AU,-28.8667,153.5667,1622219954,58,61,55.36,12.66
Lavrentiya,RU,65.5833,-171.0,1622219766,8,88,28.44,10.98
Mīnāb,IR,27.1467,57.0801,1622219954,0,30,99.9,5.86
Puerto Ayora,EC,-0.7393,-90.3518,1622219706,85,90,76.96,5.99
Meulaboh,ID,4.1363,96.1285,1622219726,100,96,75.61,2.26
Eatonton,US,33.3268,-83.3885,1622219955,23,54,89.35,10.69
Mar del Plata,AR,-38.0023,-57.5575,1622219860,0,43,65.08,7.0
Kapaa,US,22.0752,-159.319,1622219718,40,83,75.52,9.33
Edéa,CM,3.8,10.1333,1622219902,94,93,87.58,4.27
Beringovskiy,RU,63.05,179.3167,1622219955,67,91,29.59,10.58
Flinders,AU,-34.5833,150.8552,1622219956,82,59,53.19,8.01
Leningradskiy,RU,69.3833,178.4167,1622219956,16,95,27.7,9.93
Corning,US,42.1428,-77.0547,1622219851,90,92,54.36,8.52
Constitucion,MX,23.9912,-104.6749,1622219956,14,16,82.13,3.0
Flin Flon,CA,54.7682,-101.865,1622219493,75,40,53.44,17.02
Floresta,BR,-8.6011,-38.5686,1622219957,66,36,89.37,15.77
Deputatsky,RU,69.3,139.9,1622219781,12,66,40.87,6.73
Touros,BR,-5.1989,-35.4608,1622219515,27,66,86.9,16.37
Nanortalik,GL,60.1432,-45.2371,1622219957,23,76,41.0,10.27
Kinsale,IE,51.7075,-8.5306,1622219810,75,72,60.17,7.94
Yuxia,CN,34.0615,108.6291,1622219958,70,57,66.81,6.8
Port Elizabeth,ZA,-33.918,25.5701,1622219717,0,59,66.49,21.85
Ribeira Grande,PT,38.5167,-28.7,1622219958,20,63,66.6,12.66
Lumeje,AO,-11.55,20.7833,1622219958,3,33,65.59,4.07
Ngunguru,NZ,-35.6167,174.5,1622219757,72,85,56.16,24.27
Lorengau,PG,-2.0226,147.2712,1622219959,82,81,80.67,6.46
Camopi,GF,3.1655,-52.3158,1622219959,100,94,74.48,1.52
Pangai,TO,-19.8,-174.35,1622219959,44,69,75.56,6.24
Gusau,NG,12.1628,6.6614,1622219960,59,8,100.78,2.91
Fortuna,US,40.5982,-124.1573,1622219574,90,94,59.67,1.01
Afuá,BR,-0.1567,-50.3867,1622219960,73,77,81.55,4.63
